AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,version
1,1,1,1,80,13,45,21,2698,53,148,17509,3098,14775,11406,1945,1484,429,32,11459,15929,709,394,10356,249069,495,2332,232429,41214,51,359,37962,139429,1738,128672,67968,3,235,65818,53480,1,71907,33180,254,32926,38882,829,38053,19248,19214,19594,17571,16,16,10,4,6,0.49,20168,20124,20525,18357,v1.1.12
1,1,1,1,80,13,45,21,2698,53,189,17509,3098,14775,11297,1972,1504,436,32,11350,15942,728,422,10200,249069,495,2332,232429,41214,51,359,37962,139429,1738,128672,67968,3,235,65818,53434,1,71907,33180,254,32926,38882,829,38053,19200,19162,19549,17491,16,16,10,4,6,0.49,20168,20124,20525,18357,v1.1.13
1,1,1,1,80,13,45,21,2698,53,148,17509,3098,14775,11491,2018,1555,431,32,11544,15932,724,418,10402,249074,495,2332,232434,41215,51,359,37963,139433,1738,128676,67968,3,235,65818,53593,1,71910,33180,254,32926,38885,829,38056,19362,19324,19705,17644,16,16,10,4,6,0.49,20169,20125,20526,18357,v1.1.14
1,1,1,1,80,13,45,21,2698,53,148,17516,3098,14780,11415,1955,1484,439,32,11468,15895,702,388,10378,249067,495,2346,232407,41220,51,358,37969,139437,1753,128659,67952,3,235,65802,53439,1,71941,33186,259,32927,38916,836,38080,19212,19178,19556,17559,16,16,10,4,6,0.49,20173,20129,20530,18364,v1.1.15
1,1,1,1,80,13,45,21,2698,53,147,17516,3098,14780,11513,1943,1479,432,32,11566,16223,706,401,10459,249067,495,2346,232407,41220,51,358,37969,139437,1753,128659,67952,3,235,65802,53570,1,71941,33186,259,32927,38916,836,38080,19337,19303,19676,17679,16,16,10,4,6,0.49,20173,20129,20530,18364,v1.1.16
1,1,1,1,81,13,45,22,2469,54,147,16350,2853,13844,10435,1759,1309,418,32,10489,14904,631,367,9491,232528,495,2346,216395,38388,51,358,35267,130361,1753,119888,63299,3,235,61251,51885,1,67241,31004,259,30745,36398,836,35562,17686,17654,18008,16156,16,16,10,4,5,0.49,18805,18765,19143,17129,v1.1.17
1,1,1,1,80,13,44,22,2090,44,110,14150,2451,12024,9357,1628,1222,378,28,9401,13396,568,354,8479,197307,495,2346,181894,32519,51,358,29548,109180,1753,99163,55126,3,235,53192,15939,1,56254,26772,259,26513,29643,838,28805,15573,15565,15847,14352,8,8,8,4,5,0.50,15995,15987,16278,14733,v1.1.18
1,1,1,1,80,13,44,21,2698,54,155,17493,3098,14759,11493,1967,1506,429,32,11547,16164,710,411,10426,248568,495,2272,231984,41104,51,353,37858,139128,1684,128421,67878,3,235,65728,53500,1,71722,33104,248,32856,38769,817,37952,19303,19267,19639,17643,16,16,10,4,6,0.49,20142,20098,20496,18337,v1.1.2
1,1,1,1,80,13,44,21,2698,44,150,17489,3098,14755,11601,2000,1537,431,32,11645,16415,713,434,10498,248585,495,2272,232001,41106,51,353,37860,139158,1684,128451,67863,3,235,65713,53652,1,71681,33099,248,32851,38733,817,37916,19460,19420,19803,17760,16,16,10,4,6,0.49,20138,20094,20492,18333,v1.1.3
1,1,1,1,80,13,44,21,2698,43,157,17489,3098,14755,11379,1943,1477,434,32,11422,15882,702,391,10329,248588,495,2272,232004,41107,51,353,37861,139160,1684,128453,67863,3,235,65713,53324,1,71682,33099,248,32851,38734,817,37917,19128,19094,19465,17479,16,16,10,4,6,0.49,20139,20095,20493,18333,v1.1.4
1,1,1,1,80,13,44,21,2699,43,147,17493,3099,14758,11349,1938,1473,433,32,11392,15823,698,392,10302,248646,495,2272,232062,41120,51,353,37874,139197,1684,128490,67871,3,235,65721,53297,1,71705,33109,248,32861,38747,817,37930,19092,19058,19428,17426,16,16,10,4,6,0.49,20147,20103,20501,18336,v1.1.5
1,1,1,1,80,13,44,21,2699,54,189,17499,3099,14764,11251,1949,1488,429,32,11305,16001,716,434,10155,248755,495,2332,232111,41133,51,359,37881,139276,1738,128515,67888,3,235,65738,53301,1,71735,33118,254,32864,38772,829,37943,19095,19055,19426,17407,16,16,10,4,6,0.49,20157,20113,20511,18346,v1.1.6
1,1,1,1,80,13,44,21,2699,54,149,17499,3099,14764,11253,1956,1495,429,32,11307,15864,714,427,10166,248748,495,2332,232110,41133,51,359,37881,139269,1738,128514,67888,3,235,65738,53261,1,71731,33114,254,32860,38772,829,37943,19060,19020,19398,17374,16,16,10,4,6,0.49,20157,20113,20511,18346,v1.1.7
1,1,1,1,80,13,44,21,2700,54,158,17503,3100,14767,11684,2017,1556,429,32,11738,16500,741,435,10562,248995,495,2332,232357,41191,51,359,37939,139359,1738,128604,67987,3,235,65837,53822,1,71842,33185,254,32931,38812,829,37983,19620,19580,19971,17891,16,16,10,4,6,0.49,20156,20112,20511,18348,v1.1.8
1,1,1,1,80,13,44,21,2700,53,147,17503,3100,14767,11334,1957,1493,432,32,11387,16143,715,425,10247,249011,495,2332,232373,41193,51,359,37941,139372,1738,128617,67988,3,235,65838,53433,1,71845,33185,254,32931,38815,829,37986,19201,19163,19546,17508,16,16,10,4,6,0.49,20157,20113,20514,18349,v1.1.9
1,1,1,1,80,13,45,21,2705,44,148,17536,3089,14810,11606,1960,1487,441,32,11650,16351,712,412,10526,249977,495,2459,232796,41415,51,374,37969,140324,1850,129226,67782,3,237,65624,53719,1,72151,33282,285,32997,39024,836,38188,19498,19462,19845,17787,16,16,11,4,6,0.48,20226,20182,20586,18393,v1.2.0
1,1,1,1,80,13,45,21,2701,43,148,17511,3085,14789,11508,1957,1493,432,32,11551,16203,712,404,10435,249567,495,2470,232370,41342,51,374,37896,140075,1861,128961,67694,3,237,65536,53525,1,71994,33225,286,32939,38925,837,38088,19337,19303,19684,17646,16,16,11,4,6,0.48,20192,20148,20551,18367,v1.2.0-BETA
1,1,1,1,80,13,45,21,2705,43,147,17536,3089,14810,11630,2022,1549,441,32,11673,16244,718,423,10532,249970,495,2459,232789,41414,51,374,37968,140318,1850,129220,67782,3,237,65624,53678,1,72148,33282,285,32997,39021,836,38185,19472,19434,19823,17750,16,16,11,4,6,0.48,20224,20180,20584,18393,v1.2.0-RC
1,1,1,1,81,13,45,21,2706,53,152,17539,3090,14812,11602,1974,1501,441,32,11655,16336,717,406,10532,250277,495,2459,233096,41475,51,374,38029,140491,1850,129393,67855,3,237,65697,53696,1,72272,33348,285,33063,39079,836,38243,19484,19450,19834,17782,17,17,11,4,6,0.48,20220,20176,20581,18394,v1.2.1
